INSERT INTO `shangpinxinxi` (`id`, `addtime`, `shangpinmingcheng`, `shangpinfenlei`, `tupian`, `biaoqian`, `pinpai`, `shangpinxiangqing`, `clicktime`, `clicknum`, `price`) VALUES
(33,'2024-08-31 20:00:00','Cordoba Matiz C1 Blue 尼龙结他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/classicalguitar/Cordoba Matiz C1 Blue 尼龙结他.jpg','classicalguitar','Cordoba','Cordoba Matiz C1 Blue 尼龙结他','2024-08-31 20:00:00',1,52731.48),
(34,'2024-08-31 20:00:00','Cordoba Matiz C1 PaleSky 尼龙结他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/classicalguitar/Cordoba Matiz C1 PaleSky 尼龙结他.jpg','classicalguitar','Cordoba','Cordoba Matiz C1 PaleSky 尼龙结他','2024-08-31 20:00:00',1,33522.77),
(35,'2024-08-31 20:00:00','Cordoba MINI II FMH 旅行尼龙吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/classicalguitar/Cordoba MINI II FMH 旅行尼龙吉他.jpg','classicalguitar','Cordoba','Cordoba MINI II FMH 旅行尼龙吉他','2024-08-31 20:00:00',1,79967.78),
(36,'2024-08-31 20:00:00','Cordoba MINI II MH旅行吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/classicalguitar/Cordoba MINI II MH旅行吉他.jpg','classicalguitar','Cordoba','Cordoba MINI II MH旅行吉他','2024-08-31 20:00:00',1,43009.09),
(37,'2024-08-31 20:00:00','Cordoba Protégé C1 Matiz Coral 尼龙结他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/classicalguitar/Cordoba Protégé C1 Matiz Coral 尼龙结他.jpg','classicalguitar','Cordoba','Cordoba Protégé C1 Matiz Coral 尼龙结他','2024-08-31 20:00:00',1,71332.18),
(38,'2024-08-31 20:00:00','Cordoba 迪士尼寻梦环游记Coco Mini SP 小尼龙吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/classicalguitar/Cordoba 迪士尼寻梦环游记Coco Mini SP 小尼龙吉他.jpg','classicalguitar','Cordoba','Cordoba 迪士尼寻梦环游记Coco Mini SP 小尼龙吉他','2024-08-31 20:00:00',1,78687.0),
(39,'2024-08-31 20:00:00','Cordoba迪士尼寻梦环游记Coco Parlor 78寸尼龙吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/classicalguitar/Cordoba迪士尼寻梦环游记Coco Parlor 78寸尼龙吉他.jpg','classicalguitar','Cordoba迪士尼寻梦环游记Coco','Cordoba迪士尼寻梦环游记Coco Parlor 78寸尼龙吉他','2024-08-31 20:00:00',1,12782.33),
(40,'2024-08-31 20:00:00','迪士尼Coco x Córdoba Mini MH 尼龙结他连袋及结他带','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/classicalguitar/迪士尼Coco x Córdoba Mini MH 尼龙结他连袋及结他带.jpg','classicalguitar','迪士尼Coco','迪士尼Coco x Córdoba Mini MH 尼龙结他连袋及结他带','2024-08-31 20:00:00',1,26644.59),
(41,'2024-08-31 20:00:00','MARKBASS 意大利手工琴 GV 4 Gloxy Val Surf Green CR MP贝司','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/electricbass/MARKBASS 意大利手工琴 GV 4 Gloxy Val Surf Green CR MP贝司.jpg','electricbass','MARKBASS','MARKBASS 意大利手工琴 GV 4 Gloxy Val Surf Green CR MP贝司','2024-08-31 20:00:00',1,14493.57),
(42,'2024-08-31 20:00:00','MARKBASS 意大利手工琴 GV 5 Gloxy Val Black CR MP贝司','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/electricbass/MARKBASS 意大利手工琴 GV 5 Gloxy Val Black CR MP贝司.jpg','electricbass','MARKBASS','MARKBASS 意大利手工琴 GV 5 Gloxy Val Black CR MP贝司','2024-08-31 20:00:00',1,21236.78),
(43,'2024-08-31 20:00:00','MARKBASS 意大利手工琴 GV 5 Gloxy Val Surf Green CR MP贝司','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/electricbass/MARKBASS 意大利手工琴 GV 5 Gloxy Val Surf Green CR MP贝司.jpg','electricbass','MARKBASS','MARKBASS 意大利手工琴 GV 5 Gloxy Val Surf Green CR MP贝司','2024-08-31 20:00:00',1,52991.3),
(44,'2024-08-31 20:00:00','MARKBASS 意大利手工琴 JP WHITE BATTERED 4 VG MP贝司','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/electricbass/MARKBASS 意大利手工琴 JP WHITE BATTERED 4 VG MP贝司.jpg','electricbass','MARKBASS','MARKBASS 意大利手工琴 JP WHITE BATTERED 4 VG MP贝司','2024-08-31 20:00:00',1,18590.65),
(45,'2024-08-31 20:00:00','MARKBASS 意大利手工琴JP BLACK LADY 4 CR MP贝司','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/electricbass/MARKBASS 意大利手工琴JP BLACK LADY 4 CR MP贝司.jpg','electricbass','MARKBASS','MARKBASS 意大利手工琴JP BLACK LADY 4 CR MP贝司','2024-08-31 20:00:00',1,78781.38),
(46,'2024-08-31 20:00:00','MARKBASS 意大利手工琴JP BLACK LADY 4 CR RW贝司','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/electricbass/MARKBASS 意大利手工琴JP BLACK LADY 4 CR RW贝司.jpg','electricbass','MARKBASS','MARKBASS 意大利手工琴JP BLACK LADY 4 CR RW贝司','2024-08-31 20:00:00',1,54073.94),
(47,'2024-08-31 20:00:00','MARKBASS 意大利手工琴JP GOLD 4 GD 贝司','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/electricbass/MARKBASS 意大利手工琴JP GOLD 4 GD 贝司.jpg','electricbass','MARKBASS','MARKBASS 意大利手工琴JP GOLD 4 GD 贝司','2024-08-31 20:00:00',1,67658.77),
(48,'2024-08-31 20:00:00','MARKBASS 意大利手工琴KIMANDU GREEN 5 BK MP贝司','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/electricbass/MARKBASS 意大利手工琴KIMANDU GREEN 5 BK MP贝司.jpg','electricbass','MARKBASS','MARKBASS 意大利手工琴KIMANDU GREEN 5 BK MP贝司','2024-08-31 20:00:00',1,20658.61),
(49,'2024-08-31 20:00:00','Gibson Les Paul 1968 Reissue電吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/electricguitar/Gibson Les Paul 1968 Reissue電吉他.jpg','electricguitar','Gibson','Gibson Les Paul 1968 Reissue電吉他','2024-08-31 20:00:00',1,87295.53),
(50,'2024-08-31 20:00:00','Gibson Les Paul Standard 50s Gold Top 電吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/electricguitar/Gibson Les Paul Standard 50s Gold Top 電吉他.jpg','electricguitar','Gibson','Gibson Les Paul Standard 50s Gold Top 電吉他','2024-08-31 20:00:00',1,71900.92),
(51,'2024-08-31 20:00:00','Gibson Les Paul Standard 50s Heritage Cherry Sunburst 電吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/electricguitar/Gibson Les Paul Standard 50s Heritage Cherry Sunburst 電吉他.jpg','electricguitar','Gibson','Gibson Les Paul Standard 50s Heritage Cherry Sunburst 電吉他','2024-08-31 20:00:00',1,66417.19),
(52,'2024-08-31 20:00:00','Gibson Les Paul Standard 50s P90 Gold Top 電吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/electricguitar/Gibson Les Paul Standard 50s P90 Gold Top 電吉他.jpg','electricguitar','Gibson','Gibson Les Paul Standard 50s P90 Gold Top 電吉他','2024-08-31 20:00:00',1,21177.27),
(53,'2024-08-31 20:00:00','Gibson Les Paul Standard 50s Tobacco Burst 電吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/electricguitar/Gibson Les Paul Standard 50s Tobacco Burst 電吉他.jpg','electricguitar','Gibson','Gibson Les Paul Standard 50s Tobacco Burst 電吉他','2024-08-31 20:00:00',1,35504.01),
(54,'2024-08-31 20:00:00','Gibson Les Paul Standard 60s Bourbon Burst 電吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/electricguitar/Gibson Les Paul Standard 60s Bourbon Burst 電吉他.jpg','electricguitar','Gibson','Gibson Les Paul Standard 60s Bourbon Burst 電吉他','2024-08-31 20:00:00',1,74515.74),
(55,'2024-08-31 20:00:00','Gibson Les Paul Standard 60s Iced Tea 電吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/electricguitar/Gibson Les Paul Standard 60s Iced Tea 電吉他.jpg','electricguitar','Gibson','Gibson Les Paul Standard 60s Iced Tea 電吉他','2024-08-31 20:00:00',1,67362.95),
(56,'2024-08-31 20:00:00','Gibson Les Paul Standard 60s Unburst 電吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/electricguitar/Gibson Les Paul Standard 60s Unburst 電吉他.jpg','electricguitar','Gibson','Gibson Les Paul Standard 60s Unburst 電吉他','2024-08-31 20:00:00',1,11713.04),
(57,'2024-08-31 20:00:00','Gibson Slash Les Paul Standard Appetite Amber 電吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/electricguitar/Gibson Slash Les Paul Standard Appetite Amber 電吉他.jpg','electricguitar','Gibson','Gibson Slash Les Paul Standard Appetite Amber 電吉他','2024-08-31 20:00:00',1,85452.22),
(58,'2024-08-31 20:00:00','Gibson Slash Les Paul Standard November Burst 電吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/electricguitar/Gibson Slash Les Paul Standard November Burst 電吉他.jpg','electricguitar','Gibson','Gibson Slash Les Paul Standard November Burst 電吉他','2024-08-31 20:00:00',1,2844.96),
(59,'2024-08-31 20:00:00','Guild CrossRoads Double Neck Dark Gray 双头吉他','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/electricguitar/Guild CrossRoads Double Neck Dark Gray 双头吉他.jpg','electricguitar','Guild','Guild CrossRoads Double Neck Dark Gray 双头吉他','2024-08-31 20:00:00',1,47125.77),
(60,'2024-08-31 20:00:00','Cordoba 15CB Bocote Concert 23寸尤克里里','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/ukulele/Cordoba 15CB Bocote Concert 23寸尤克里里.jpg','ukulele','Cordoba','Cordoba 15CB Bocote Concert 23寸尤克里里','2024-08-31 20:00:00',1,39916.93),
(61,'2024-08-31 20:00:00','Cordoba 15CFM Concert 23寸蓝宝石蓝尤克里里','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/ukulele/Cordoba 15CFM Concert 23寸蓝宝石蓝尤克里里.jpg','ukulele','Cordoba','Cordoba 15CFM Concert 23寸蓝宝石蓝尤克里里','2024-08-31 20:00:00',1,52260.01),
(62,'2024-08-31 20:00:00','Cordoba 15CFM Concert Rose Red玫瑰红尤克里里','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/ukulele/Cordoba 15CFM Concert Rose Red玫瑰红尤克里里.jpg','ukulele','Cordoba','Cordoba 15CFM Concert Rose Red玫瑰红尤克里里','2024-08-31 20:00:00',1,17354.37),
(63,'2024-08-31 20:00:00','Cordoba 15CFM Concert Ukulele 23寸翡翠绿尤克里里','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/ukulele/Cordoba 15CFM Concert Ukulele 23寸翡翠绿尤克里里.jpg','ukulele','Cordoba','Cordoba 15CFM Concert Ukulele 23寸翡翠绿尤克里里','2024-08-31 20:00:00',1,52323.79),
(64,'2024-08-31 20:00:00','Cordoba 15CFM Concert 花岗岩灰尤克里里','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/ukulele/Cordoba 15CFM Concert 花岗岩灰尤克里里.jpg','ukulele','Cordoba','Cordoba 15CFM Concert 花岗岩灰尤克里里','2024-08-31 20:00:00',1,85233.62),
(65,'2024-08-31 20:00:00','Cordoba 25C Concert 23寸面单尤克里里','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/ukulele/Cordoba 25C Concert 23寸面单尤克里里.jpg','ukulele','Cordoba','Cordoba 25C Concert 23寸面单尤克里里','2024-08-31 20:00:00',1,33639.79),
(66,'2024-08-31 20:00:00','Cordoba U1C Concert 23寸尤克里里','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/ukulele/Cordoba U1C Concert 23寸尤克里里.jpg','ukulele','Cordoba','Cordoba U1C Concert 23寸尤克里里','2024-08-31 20:00:00',1,11885.11),
(67,'2024-08-31 20:00:00','Cordoba U1S Soprano 21寸尤克里里','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/ukulele/Cordoba U1S Soprano 21寸尤克里里.jpg','ukulele','Cordoba','Cordoba U1S Soprano 21寸尤克里里','2024-08-31 20:00:00',1,33638.56),
(68,'2024-08-31 20:00:00','Cordoba U1T Tenor 26寸尤克里里','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/ukulele/Cordoba U1T Tenor 26寸尤克里里.jpg','ukulele','Cordoba','Cordoba U1T Tenor 26寸尤克里里','2024-08-31 20:00:00',1,12674.62),
(69,'2024-08-31 20:00:00','WST CU118 Concert 23寸尤克里里','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/ukulele/WST CU118 Concert 23寸尤克里里.jpg','ukulele','WST','WST CU118 Concert 23寸尤克里里','2024-08-31 20:00:00',1,68244.79),
(70,'2024-08-31 20:00:00','WST CU178 Concert 23寸尤克里里','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/ukulele/WST CU178 Concert 23寸尤克里里.jpg','ukulele','WST','WST CU178 Concert 23寸尤克里里','2024-08-31 20:00:00',1,81022.21),
(71,'2024-08-31 20:00:00','WST CU258E Concert 23寸电箱面单尤克里里','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/ukulele/WST CU258E Concert 23寸电箱面单尤克里里.jpg','ukulele','WST','WST CU258E Concert 23寸电箱面单尤克里里','2024-08-31 20:00:00',1,46701.99),
(72,'2024-08-31 20:00:00','WST CU358EQ Concert 23寸电箱全单尤克里里','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/ukulele/WST CU358EQ Concert 23寸电箱全单尤克里里.jpg','ukulele','WST','WST CU358EQ Concert 23寸电箱全单尤克里里','2024-08-31 20:00:00',1,57451.68),
(73,'2024-08-31 20:00:00','WST SU210 Soprano 21寸面单尤克里里','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/ukulele/WST SU210 Soprano 21寸面单尤克里里.jpg','ukulele','WST','WST SU210 Soprano 21寸面单尤克里里','2024-08-31 20:00:00',1,36599.54),
(74,'2024-08-31 20:00:00','WST SU218 Soprano 23寸面单尤克里里','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/ukulele/WST SU218 Soprano 23寸面单尤克里里.jpg','ukulele','WST','WST SU218 Soprano 23寸面单尤克里里','2024-08-31 20:00:00',1,4592.62),
(75,'2024-08-31 20:00:00','WST SU258E Soprano 21寸电箱面单尤克里里','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/ukulele/WST SU258E Soprano 21寸电箱面单尤克里里.jpg','ukulele','WST','WST SU258E Soprano 21寸电箱面单尤克里里','2024-08-31 20:00:00',1,22085.41),
(76,'2024-08-31 20:00:00','WST SU310EQ Soprano 21寸电箱全单尤克里里','吉他','http://localhost:8080/wangshangshangchengB/upload/pics/吉他/ukulele/WST SU310EQ Soprano 21寸电箱全单尤克里里.jpg','ukulele','WST','WST SU310EQ Soprano 21寸电箱全单尤克里里','2024-08-31 20:00:00',1,4404.59),
(77,'2024-08-31 20:00:00','WILH. STEINBERG GSC600 大提琴 (套裝)','弦乐','http://localhost:8080/wangshangshangchengB/upload/pics/弦乐/cello/WILH. STEINBERG GSC600 大提琴 (套裝).jpg','cello','WILH.','WILH. STEINBERG GSC600 大提琴 (套裝)','2024-08-31 20:00:00',1,41329.32),
(78,'2024-08-31 20:00:00','WILH. STEINBERG LSC1000 大提琴 (套裝)','弦乐','http://localhost:8080/wangshangshangchengB/upload/pics/弦乐/cello/WILH. STEINBERG LSC1000 大提琴 (套裝).jpg','cello','WILH.','WILH. STEINBERG LSC1000 大提琴 (套裝)','2024-08-31 20:00:00',1,43180.55),
(79,'2024-08-31 20:00:00','WILH. STEINBERG LSC800 大提琴 (套裝)','弦乐','http://localhost:8080/wangshangshangchengB/upload/pics/弦乐/cello/WILH. STEINBERG LSC800 大提琴 (套裝).jpg','cello','WILH.','WILH. STEINBERG LSC800 大提琴 (套裝)','2024-08-31 20:00:00',1,74442.97),
(80,'2024-08-31 20:00:00','WILH. STEINBERG LSC900 大提琴 (套裝)','弦乐','http://localhost:8080/wangshangshangchengB/upload/pics/弦乐/cello/WILH. STEINBERG LSC900 大提琴 (套裝).jpg','cello','WILH.','WILH. STEINBERG LSC900 大提琴 (套裝)','2024-08-31 20:00:00',1,38494.46),
(81,'2024-08-31 20:00:00','WILH. STEINBERG PSC200 大提琴 (套裝)','弦乐','http://localhost:8080/wangshangshangchengB/upload/pics/弦乐/cello/WILH. STEINBERG PSC200 大提琴 (套裝).jpg','cello','WILH.','WILH. STEINBERG PSC200 大提琴 (套裝)','2024-08-31 20:00:00',1,62126.93),
